epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.927,0.8726,4.39064,1.29403,0,0,0,0,0.45036,4.57089,0.98186,0.00010323,0.00010323,0.00010323
2,272.31,0.70027,3.95187,1.1853,0.04657,0.87279,0.18613,0.16506,0.47688,4.17035,0.97859,0.000205636,0.000205636,0.000205636
3,406.938,0.72727,3.51441,1.21475,0.48275,0.16939,0.29749,0.26344,0.48684,3.89597,0.98939,0.000303823,0.000303823,0.000303823
4,542.316,0.72866,3.24012,1.19411,0.29153,0.4673,0.36232,0.30981,0.54279,3.46219,1.06174,0.00031322,0.00031322,0.00031322
5,678.334,0.73105,3.0136,1.19112,0.31249,0.48953,0.44068,0.38715,0.51212,3.11796,1.00789,0.000306626,0.000306626,0.000306626
6,814.289,0.69417,2.88625,1.1767,0.38658,0.5157,0.46842,0.40449,0.49765,2.97655,1.01581,0.000300033,0.000300033,0.000300033
7,950.085,0.69801,2.69313,1.15777,0.48468,0.62741,0.59626,0.53738,0.48332,2.61827,0.9913,0.00029344,0.00029344,0.00029344
8,1085.69,0.64929,2.47681,1.12081,0.57183,0.68795,0.68923,0.63082,0.49187,2.45345,0.99793,0.000286846,0.000286846,0.000286846
9,1221.33,0.63648,2.35806,1.12037,0.44385,0.71214,0.71419,0.64108,0.50677,2.39249,0.99781,0.000280253,0.000280253,0.000280253
10,1356.74,0.64529,2.25204,1.11179,0.73666,0.66692,0.77857,0.70563,0.48,2.20282,0.98427,0.000273659,0.000273659,0.000273659
11,1492.24,0.64238,2.16094,1.1084,0.55353,0.61779,0.6724,0.61819,0.45576,2.66127,0.95442,0.000267066,0.000267066,0.000267066
12,1627.81,0.60456,2.03514,1.08864,0.73694,0.60784,0.75843,0.69868,0.45084,2.14485,0.95778,0.000260473,0.000260473,0.000260473
13,1763.18,0.62733,1.95956,1.09228,0.62258,0.77797,0.79849,0.74251,0.43183,2.06429,0.93237,0.000253879,0.000253879,0.000253879
14,1898.66,0.5992,1.88277,1.08434,0.80623,0.71529,0.86766,0.81656,0.41603,1.86154,0.9281,0.000247286,0.000247286,0.000247286
15,2034.24,0.58804,1.81132,1.07705,0.74809,0.69733,0.81824,0.75166,0.42463,1.91922,0.92185,0.000240692,0.000240692,0.000240692
16,2169.63,0.56005,1.74834,1.05721,0.88788,0.6976,0.83575,0.77752,0.40991,1.66991,0.91717,0.000234099,0.000234099,0.000234099
17,2305.24,0.55939,1.66195,1.0494,0.70907,0.76154,0.87787,0.82393,0.3954,1.72637,0.89642,0.000227506,0.000227506,0.000227506
18,2440.63,0.55358,1.59651,1.05286,0.73747,0.79992,0.86838,0.81072,0.40639,1.69115,0.90032,0.000220912,0.000220912,0.000220912
19,2575.89,0.52077,1.53957,1.02504,0.78181,0.81302,0.8678,0.81183,0.38749,1.61804,0.8875,0.000214319,0.000214319,0.000214319
20,2711.46,0.50238,1.5007,1.01632,0.84387,0.80591,0.90641,0.8525,0.38007,1.42455,0.88994,0.000207725,0.000207725,0.000207725
21,2846.42,0.52092,1.47392,1.01805,0.8269,0.81483,0.89905,0.83828,0.39866,1.53089,0.90477,0.000201132,0.000201132,0.000201132
22,2981.17,0.50958,1.39151,1.02782,0.79653,0.84359,0.91467,0.84593,0.4077,1.4182,0.91152,0.000194539,0.000194539,0.000194539
23,3116.22,0.5014,1.32699,1.01017,0.88887,0.85458,0.91847,0.85787,0.38685,1.38115,0.90178,0.000187945,0.000187945,0.000187945
24,3251,0.51111,1.29585,1.0173,0.84794,0.81029,0.90388,0.84899,0.38903,1.37116,0.90344,0.000181352,0.000181352,0.000181352
25,3385.54,0.50728,1.28939,1.0105,0.82822,0.82658,0.89506,0.84155,0.38561,1.45714,0.89228,0.000174758,0.000174758,0.000174758
26,3520.33,0.49895,1.28717,1.02119,0.88969,0.80044,0.92702,0.86954,0.3859,1.31118,0.8965,0.000168165,0.000168165,0.000168165
27,3655.11,0.49425,1.25793,0.99454,0.87209,0.85302,0.9316,0.87224,0.37656,1.2843,0.89545,0.000161572,0.000161572,0.000161572
28,3789.64,0.47659,1.20408,1.0002,0.90307,0.8306,0.93945,0.88417,0.38734,1.28281,0.89886,0.000154978,0.000154978,0.000154978
29,3924.56,0.49869,1.20898,1.01094,0.87145,0.85013,0.93549,0.87823,0.37779,1.36974,0.89908,0.000148385,0.000148385,0.000148385
30,4059.1,0.48875,1.20861,1.00444,0.90798,0.86316,0.94369,0.89836,0.36297,1.19863,0.89019,0.000141791,0.000141791,0.000141791
31,4193.92,0.45466,1.13629,0.99343,0.886,0.84413,0.92418,0.88016,0.36773,1.21968,0.88367,0.000135198,0.000135198,0.000135198
32,4328.86,0.45361,1.12935,0.97953,0.90841,0.8474,0.93976,0.8912,0.36556,1.14593,0.88349,0.000128605,0.000128605,0.000128605
33,4463.9,0.47965,1.10911,1.00522,0.8904,0.86754,0.93532,0.87577,0.38028,1.14492,0.89078,0.000122011,0.000122011,0.000122011
34,4598.97,0.48496,1.12362,1.0095,0.87178,0.8562,0.92429,0.87055,0.37653,1.24051,0.8936,0.000115418,0.000115418,0.000115418
35,4734.1,0.45278,1.0863,0.98036,0.94911,0.8193,0.93089,0.8809,0.36985,1.10019,0.89277,0.000108824,0.000108824,0.000108824
36,4869.44,0.4589,1.06524,0.99055,0.92334,0.87031,0.93602,0.88145,0.36714,1.12654,0.88859,0.000102231,0.000102231,0.000102231
37,5004.36,0.45915,1.05799,0.991,0.91128,0.8713,0.94817,0.89631,0.36164,1.07105,0.88342,9.56376e-05,9.56376e-05,9.56376e-05
38,5140.12,0.44981,1.04036,0.97838,0.9112,0.88561,0.94448,0.89055,0.36441,1.1035,0.8834,8.90442e-05,8.90442e-05,8.90442e-05
39,5275.49,0.43923,1.02615,0.96984,0.91658,0.89207,0.93616,0.88453,0.36084,1.10403,0.8871,8.24508e-05,8.24508e-05,8.24508e-05
40,5410.98,0.4454,1.01714,0.97892,0.91841,0.88794,0.94339,0.89087,0.3603,1.09944,0.88652,7.58574e-05,7.58574e-05,7.58574e-05
41,5546.1,0.28055,1.01487,0.85934,0.88867,0.88418,0.93942,0.88958,0.37526,1.16795,0.8932,6.9264e-05,6.9264e-05,6.9264e-05
42,5680.75,0.27507,0.98616,0.85827,0.90239,0.85855,0.92864,0.88256,0.35297,1.11755,0.88323,6.26706e-05,6.26706e-05,6.26706e-05
43,5815.63,0.26925,0.94677,0.84844,0.88784,0.85871,0.92289,0.87551,0.35754,1.14028,0.87966,5.60772e-05,5.60772e-05,5.60772e-05
44,5950.67,0.25906,0.91173,0.84679,0.92324,0.87074,0.92782,0.88055,0.34927,1.06729,0.87432,4.94838e-05,4.94838e-05,4.94838e-05
